index_code,date,open,close,low,high,volume,money,change,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-07-15,2065.9,2070.36,2059.68,2070.36,12448876800,103000000000.0,0.001795663,2052.184,2046.5265,2042.0108333333333,2059.357738033452,2051.2324584849575,2049.3113594900187
sh000001,2014-07-14,2047.74,2066.65,2044.9,2067.34,11511974000,96357013657.0,0.009616695,2050.916,2046.3434999999997,2042.4863333333333,2053.8566070501774,2049.219033062321,2048.597842784681
sh000001,2014-07-11,2033.87,2046.96,2033.0,2051.74,10508808300,86253717656.0,0.004228437,2049.5719999999997,2047.3100000000002,2043.1275,2047.4599105752661,2047.384194437302,2047.9859021770937
sh000001,2014-07-10,2036.54,2038.34,2034.96,2045.53,9794381900,84748630822.0,-0.000132443,2052.056,2048.498,2044.0381666666665,2047.7098658628993,2047.428846483334,2048.020678702748
sh000001,2014-07-09,2061.64,2038.61,2037.6,2062.47,11330584100,97183492310.0,-0.012310437,2057.034,2049.1665000000003,2045.5915,2052.394798794349,2048.3855671657902,2048.34883906546
sh000001,2014-07-08,2058.13,2064.02,2047.2,2064.43,9505339300,81584449261.0,0.001987449,2061.196,2049.9835,2047.1236666666666,2059.2871981915237,2049.4145742358733,2048.6789710365897
sh000001,2014-07-07,2058.13,2059.93,2050.89,2064.04,9716875400,81471314663.0,0.000268042,2058.468,2049.409,2048.295,2056.920797287286,2047.877160997544,2048.158933170659
sh000001,2014-07-04,2062.36,2059.38,2054.22,2065.08,10500879200,83596436667.0,-0.001867946,2056.148,2047.9375,2049.0501666666664,2055.416195930929,2046.6084411025488,2047.7599115874482
sh000001,2014-07-03,2051.63,2063.23,2048.08,2066.64,12292658200,96182469062.0,0.001850523,2051.5739999999996,2046.4664999999998,2049.6985,2053.4342938963932,2045.2640664817643,2047.366007867788
sh000001,2014-07-02,2049.49,2059.42,2044.04,2060.6,10955391100,89304983545.0,0.004407474,2046.664,2045.3490000000002,2049.6251666666667,2048.53644084459,2043.372915585108,2046.8282420102698
sh000001,2014-07-01,2051.23,2050.38,2041.94,2052.64,9845740900,83499762384.0,0.00100277,2039.8799999999999,2043.6195,2049.363166666667,2043.0946612668847,2041.6837488045935,2046.4013999560686
sh000001,2014-06-30,2038.61,2048.33,2038.53,2052.34,9666659800,80011169570.0,0.005802574,2036.5900000000001,2043.039,2049.5066666666667,2039.451991900327,2040.768353941919,2046.2665312431648
sh000001,2014-06-27,2031.91,2036.51,2025.07,2043.98,9759201700,76710586646.0,-0.001062944,2031.798,2042.5829999999999,2049.4921666666664,2035.0129878504904,2039.972391198963,2046.1965826591734
sh000001,2014-06-26,2025.66,2038.68,2025.31,2040.75,8095577800,66534274736.0,0.00650456,2029.83,2042.7875,2049.438833333333,2034.2644817757355,2040.336853430433,2046.524943774191
sh000001,2014-06-25,2030.43,2025.5,2018.36,2030.62,6753961000,55989137975.0,-0.004144192,2026.8419999999999,2043.3650000000002,2049.4893333333334,2032.056722663603,2040.511259054689,2046.7908760651458
sh000001,2014-06-24,2023.7,2033.93,2021.75,2034.71,7121463400,61684910986.0,0.004725432,2032.846,2043.8185,2049.840833333333,2035.3350839954046,2042.0913915867613,2047.512606271276
sh000001,2014-06-23,2026.23,2024.37,2022.92,2033.32,7048516200,57772730103.0,-0.001139305,2039.4,2044.196,2050.3365,2036.037625993107,2042.9504854379993,2047.973037292033
sh000001,2014-06-20,2013.41,2026.67,2010.53,2027.15,6716724600,53224269342.0,0.001452265,2051.7219999999998,2044.7059999999997,2051.052166666667,2041.8714389896604,2044.9063260104206,2048.773146879863
sh000001,2014-06-19,2054.62,2023.74,2017.65,2059.26,9291427400,74628946056.0,-0.015462761,2060.5319999999997,2044.437,2051.7123333333334,2049.4721584844906,2046.8259392746754,2049.522412514099
sh000001,2014-06-18,2064.38,2055.52,2051.75,2066.91,8724535000,70472931939.0,-0.005409112,2066.1259999999997,2044.4975000000002,2052.110333333333,2062.3382377267358,2049.2560381456938,2050.3964003393953
sh000001,2014-06-17,2080.48,2066.7,2064.67,2080.48,8780048100,70923265343.0,-0.009245042,2066.012,2042.1274999999998,2051.0763333333334,2065.7473565901037,2048.596673739977,2050.2227174046843
sh000001,2014-06-16,2070.7,2085.98,2069.44,2087.32,9593977000,79953076117.0,0.007373299,2063.178,2039.0515,2050.3268333333335,2065.2710348851556,2046.6910604494483,2049.6641601646475
sh000001,2014-06-13,2049.21,2070.72,2048.62,2073.6,9717480600,82546974059.0,0.009261529,2052.082,2036.0774999999999,2049.313833333333,2054.9165523277334,2042.5553826020218,2048.433102697488
sh000001,2014-06-12,2051.58,2051.71,2045.96,2057.11,8171118600,69306421819.0,-0.001574249,2043.9300000000003,2033.7899999999997,2048.529666666667,2047.0148284916002,2039.5906860338134,2047.6776070082392
sh000001,2014-06-11,2049.13,2054.95,2045.41,2056.63,7444435400,63177390287.0,0.001177083,2041.764,2033.6,2047.7401666666667,2044.6672427374003,2038.314968774215,2047.5409142902574
sh000001,2014-06-10,2033.21,2052.53,2026.39,2052.77,7962371700,65406104835.0,0.010849534,2035.7400000000002,2033.389,2047.1428333333336,2039.5258641061002,2036.5639128557114,2047.2897561256932
sh000001,2014-06-09,2024.94,2030.5,2023.2,2045.26,6478831700,55139842258.0,0.000268971,2032.988,2033.4060000000002,2046.2288333333333,2033.0237961591502,2034.883272103681,2047.1121187534854
sh000001,2014-06-06,2040.86,2029.96,2022.16,2041.57,6602174400,55124242502.0,-0.005351618,2034.73,2032.438,2045.7398333333333,2034.2856942387252,2035.3446691672264,2047.6752479344336
sh000001,2014-06-05,2019.44,2040.88,2016.18,2041.7,6794953600,56376142155.0,0.007923613,2036.8580000000002,2031.7035,2045.225,2036.4485413580878,2035.911476447987,2048.2757719926744
sh000001,2014-06-04,2037.99,2024.83,2012.91,2038.48,7241277100,57467546430.0,-0.006836468,2038.7279999999998,2030.1634999999999,2045.5088333333333,2034.232812037132,2035.3884739688278,2048.5264792267567
sh000001,2014-06-03,2039.2,2038.77,2037.3,2049.58,7158412400,59296437014.0,-0.00021577,2040.676,2030.3239999999998,2046.088,2038.9342180556976,2036.4998922813359,2049.3297599741163
sh000001,2014-05-30,2040.39,2039.21,2031.37,2046.96,7514889800,62353642382.0,-0.000677744,2041.218,2029.753,2046.3265,2039.0163270835462,2036.2609335741079,2049.6877226687975
sh000001,2014-05-29,2051.84,2040.6,2039.24,2057.08,8124292100,69472513686.0,-0.004698502,2040.2900000000002,2029.1105,2046.8641666666665,2038.919490625319,2035.950505529277,2050.0429045602095
